time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.787,,,,,,,0,0,,
0.927,,,,,,,0,0,,
1.003,,,,,,,0,0,,
1.082,,,,,,,0,0,,
1.161,,,,,,,0,0,,
1.237,,,,,,,0,0,,
1.319,,,,,,,0,0,,
1.450,,,,,,,0,0,,
1.508,,,,,,,0,0,,
1.570,,,,,,,0,0,,
1.636,,,,,,,0,0,,
1.716,,,,,,,0,0,,
1.796,,,,,,,0,0,,
1.898,,,,,,,0,0,,
2.016,,,,,,,0,0,,
2.467,0.5000,0.5000,0.5000,0.5000,170.89,13.21,1,0,,
2.560,0.5000,0.5000,,,,,0,0,,
2.663,0.5000,0.5000,,,,,0,0,,
2.744,0.5000,0.5000,,,,,0,0,,
2.822,0.5000,0.5000,,,,,0,0,,
2.887,0.5000,0.5000,,,,,0,0,,
2.964,0.5000,0.5000,,,,,0,0,,
3.044,0.5000,0.5000,,,,,0,0,,
3.124,0.5000,0.5000,,,,,0,0,,
3.201,0.5000,0.5000,,,,,0,0,,
3.280,0.5000,0.5000,,,,,0,0,,
3.360,0.5000,0.5000,,,,,0,0,,
3.442,0.5000,0.5000,,,,,0,0,,
3.519,0.5000,0.5000,,,,,0,0,,
3.596,0.5000,0.5000,,,,,0,0,,
3.677,0.5000,0.5000,,,,,0,0,,
3.759,0.5000,0.5000,,,,,0,0,,
3.836,0.5000,0.5000,,,,,0,0,,
3.916,0.5000,0.5000,,,,,0,0,,
4.041,0.5000,0.5000,,,,,0,0,,
4.150,0.5000,0.5000,,,,,0,0,,
4.230,0.5000,0.5000,,,,,0,0,,
4.312,0.5000,0.5000,,,,,0,0,,
4.390,0.5000,0.5000,,,,,0,0,,
4.468,0.5000,0.5000,,,,,0,0,,
4.539,0.5000,0.5000,,,,,0,0,,
4.619,0.5000,0.5000,,,,,0,0,,
4.700,0.5000,0.5000,,,,,0,0,,
4.779,0.5000,0.5000,,,,,0,0,,
4.856,0.5000,0.5000,,,,,0,0,,
4.936,0.5000,0.5000,,,,,0,0,,
5.014,0.5000,0.5000,,,,,0,0,,
5.092,0.5000,0.5000,,,,,0,0,,
5.170,0.5000,0.5000,,,,,0,0,,
