time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.693,0.5000,0.5000,0.5000,0.5000,9.33,11.97,0.437,,1,0,,
0.735,0.5000,0.5000,0.5000,0.5000,9.33,12.06,0.418,,1,0,,
0.764,0.5000,0.5000,0.5000,0.5000,9.33,12.12,0.420,,1,0,,
0.791,0.5000,0.5000,0.5000,0.5000,9.33,12.22,0.433,,1,0,,
0.821,0.5000,0.5000,0.5000,0.5000,9.33,12.32,0.438,,1,0,,
0.852,0.5000,0.5000,0.5000,0.5000,9.33,12.44,0.440,,1,0,,
0.885,0.5000,0.5000,0.5000,0.5000,9.35,12.58,0.428,,1,0,,
0.917,0.5000,0.5000,0.5000,0.5000,9.36,12.68,0.276,,1,0,,
0.968,0.5000,0.5000,0.5000,0.5000,9.40,12.82,0.243,,1,0,,
1.002,0.5000,0.5000,0.5000,0.5000,9.42,12.95,0.384,,1,0,,
1.033,0.5000,0.5000,0.5000,0.5000,9.46,13.09,0.485,,1,0,,
1.061,0.5000,0.5000,0.5000,0.5000,9.48,13.22,0.525,,1,0,,
1.095,0.5000,0.5000,0.5000,0.5000,9.52,13.33,0.514,,1,0,,
1.129,0.5000,0.5000,0.5000,0.5000,9.56,13.48,0.508,,1,0,,
1.161,0.5000,0.5000,0.5000,0.5000,9.60,13.61,0.540,,1,0,,
1.194,0.5000,0.5000,0.5000,0.5000,9.65,13.74,0.527,,1,0,,
1.224,0.5000,0.5000,0.5000,0.5000,9.70,13.82,0.539,,1,0,,
1.256,0.5000,0.5000,0.5000,0.5000,9.75,13.91,0.530,,1,0,,
1.290,0.5000,0.5000,0.5000,0.5000,9.79,13.97,0.536,,1,0,,
1.321,0.5000,0.5000,0.5000,0.5000,9.83,14.03,0.543,,1,0,,
1.352,0.5000,0.5000,0.5000,0.5000,9.87,14.10,0.536,,1,0,,
1.382,0.5000,0.5000,0.5000,0.5000,9.91,14.17,0.539,,1,0,,
1.457,0.5000,0.5000,0.5000,0.5000,9.97,14.31,0.525,,1,0,,
1.489,0.5000,0.5000,0.5000,0.5000,10.02,14.39,0.529,,1,0,,
1.528,0.5000,0.5000,0.5000,0.5000,10.06,14.44,0.533,,1,0,,
1.562,0.5000,0.5000,0.5000,0.5000,10.10,14.45,0.541,,1,0,,
2.631,0.5000,0.5000,0.5000,0.5000,10.14,16.37,0.437,,1,0,,
2.655,0.5000,0.5000,0.5000,0.5000,10.15,16.46,0.426,,1,0,,
2.681,0.5000,0.5000,0.5000,0.5000,10.14,16.51,0.426,,1,0,,
2.706,0.5000,0.5000,0.5000,0.5000,10.13,16.54,0.418,,1,0,,
2.731,0.5000,0.5000,0.5000,0.5000,10.12,16.58,0.425,,1,0,,
2.757,0.5000,0.5000,0.5000,0.5000,10.10,16.55,0.423,,1,0,,
2.780,0.5000,0.5000,0.5000,0.5000,10.08,16.49,0.426,,1,0,,
2.806,0.5000,0.5000,0.5000,0.5000,10.05,16.39,0.421,,1,0,,
2.835,0.5000,0.5000,0.5000,0.5000,10.01,16.24,0.414,,1,0,,
2.870,0.5000,0.5000,0.5000,0.5000,9.87,15.78,0.415,,1,0,,
2.901,0.5000,0.5000,0.5000,0.5000,9.76,15.34,0.433,,1,0,,
2.933,0.5000,0.5000,0.5000,0.5000,9.66,14.94,0.442,,1,0,,
2.965,0.5000,0.5000,0.5000,0.5000,9.41,14.08,0.439,,1,0,,
2.997,0.5000,0.5000,0.5000,0.5000,9.29,13.48,0.428,,1,0,,
3.031,0.5000,0.5000,0.5000,0.5000,9.20,13.05,0.436,,1,0,,
3.062,0.5000,0.5000,0.5000,0.5000,9.17,12.84,0.437,,1,0,,
3.094,0.5000,0.5000,0.5000,0.5000,9.04,12.21,0.441,,1,0,,
3.125,0.5000,0.5000,0.5000,0.5000,8.97,11.76,0.439,,1,0,,
3.158,0.5000,0.5000,0.5000,0.5000,8.92,11.43,0.435,,1,0,,
3.192,0.5000,0.5000,0.5000,0.5000,8.88,11.15,0.433,,1,0,,
3.236,0.5000,0.5000,0.5000,0.5000,8.88,10.93,0.433,,1,0,,
3.269,0.5000,0.5000,0.5000,0.5000,8.88,10.81,0.430,,1,0,,
3.302,0.5000,0.5000,0.5000,0.5000,8.88,10.66,0.433,,1,0,,
3.334,0.5000,0.5000,0.5000,0.5000,8.88,10.53,0.432,,1,0,,
3.366,0.5000,0.5000,0.5000,0.5000,8.87,10.35,0.444,,1,0,,
3.397,0.5000,0.5000,0.5000,0.5000,8.82,10.01,0.439,,1,0,,
3.428,0.5000,0.5000,0.5000,0.5000,8.82,9.89,0.437,,1,0,,
