time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y
0.615,0.5000,0.5000,0.5000,0.5000,-8.67,14.97,0.512,,1,0,,,,,
0.663,0.5000,0.5000,0.5000,0.5000,-8.64,14.93,0.476,,1,0,,,,,
0.703,0.5000,0.5000,0.5000,0.5000,-27.15,18.33,0.463,,1,0,,,,,
0.746,0.5000,0.5000,0.5000,0.5000,-25.46,18.05,0.456,,1,0,,,,,
0.778,0.5000,0.5000,0.5000,0.5000,-23.97,17.91,0.501,,1,0,,,,,
0.806,0.5000,0.5000,0.5000,0.5000,-23.00,17.87,0.519,,1,0,,,,,
0.838,0.5000,0.5000,0.5000,0.5000,-22.06,17.85,0.545,,1,0,,,,,
0.862,0.5000,0.5000,0.5000,0.5000,-21.29,17.89,0.537,,1,0,,,,,
0.888,0.5000,0.5000,0.5000,0.5000,-20.61,17.94,0.529,,1,0,,,,,
0.917,0.5000,0.5000,0.5000,0.5000,-19.77,18.01,0.515,,1,0,,,,,
0.946,0.5000,0.5000,0.5000,0.5000,-18.94,18.03,0.523,,1,0,,,,,
0.976,0.5000,0.5000,0.5000,0.5000,-18.06,17.95,0.508,,1,0,,,,,
1.005,0.5000,0.5000,0.5000,0.5000,-17.17,17.66,0.486,,1,0,,,,,
1.031,0.5000,0.5000,0.5000,0.5000,-16.36,17.37,0.411,,1,0,,,,,
1.058,0.5000,0.5000,0.5000,0.5000,-15.60,16.95,0.363,,1,0,,,,,
1.092,0.5000,0.5000,0.5000,0.5000,-14.73,16.15,0.345,,1,0,,,,,
1.123,0.5000,0.5000,0.5000,0.5000,-13.91,15.02,0.345,,1,0,,,,,
1.149,0.5000,0.5000,0.5000,0.5000,-13.38,13.61,0.348,,1,0,,,,,
1.188,0.5000,0.5000,0.5000,0.5000,-13.10,11.11,0.370,,1,0,,,,,
1.223,0.5000,0.5000,0.5000,0.5000,-12.84,8.78,0.349,,1,0,,,,,
1.254,0.5000,0.5000,0.5000,0.5000,-12.55,6.50,0.348,,1,0,,,,,
1.289,0.5000,0.5000,0.5000,0.5000,-12.19,4.19,0.353,,1,0,,,,,
1.330,0.5000,0.5000,0.5000,0.5000,-11.58,2.27,0.344,,1,0,,,,,
1.360,0.5000,0.5000,0.5000,0.5000,-11.11,0.55,0.334,,1,0,,,,,
1.385,0.5000,0.5000,0.5000,0.5000,-10.63,-0.23,0.319,,1,0,,,,,
1.416,0.5000,0.5000,0.5000,0.5000,-9.98,-0.08,0.312,,1,0,,,,,
1.450,0.5000,0.5000,0.5000,0.5000,-9.34,0.32,0.325,,1,0,,,,,
1.482,0.5000,0.5000,0.5000,0.5000,-8.75,0.68,0.320,,1,0,,,,,
1.531,0.5000,0.5000,0.5000,0.5000,-8.03,1.38,0.327,,1,0,,,,,
1.566,0.5000,0.5000,0.5000,0.5000,-7.52,1.81,0.321,,1,0,,,,,
1.593,0.5000,0.5000,0.5000,0.5000,-7.13,2.12,0.319,,1,0,,,,,
