time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm
0.701,0.5000,0.5000,0.5000,0.5000,-15.11,-29.31,0.573,,1,0,,,,,,-16.28003,4.09848,,,,
0.773,0.5000,0.5000,0.5000,0.5000,0.11,0.65,0.297,,1,0,,,,,,-17.15100,4.57786,,,,
0.800,0.5000,0.5000,0.5000,0.5000,16.78,51.71,0.325,,1,0,,,,,,-17.38802,4.60969,,,,
0.830,0.5000,0.5000,0.5000,0.5000,56.39,65.26,0.365,,1,0,,,,,,-17.58132,4.61327,,,,
0.861,0.5000,0.5000,0.5000,0.5000,29.25,30.33,0.442,,1,0,,,,,,-17.75271,4.61470,,,,
0.889,0.5000,0.5000,0.5000,0.5000,24.34,0.52,0.501,,1,0,,,,,,-17.60721,4.57862,,,,
0.915,0.5000,0.5000,0.5000,0.5000,21.72,-22.64,0.543,,1,0,,,,,,-17.68268,4.58149,,,,
0.942,0.5000,0.5000,0.5000,0.5000,16.88,-43.33,0.559,,1,0,,,,,,-17.69325,4.56979,,,,
0.971,0.5000,0.5000,0.5000,0.5000,10.23,-55.94,0.591,,1,0,,,,,,-17.30682,4.44751,,,,
1.005,0.5000,0.5000,0.5000,0.5000,-79.10,-12.56,0.583,,1,0,,,,,,-17.15905,4.40562,,,,
1.032,0.5000,0.5000,0.5000,0.5000,-83.99,28.77,0.591,,1,0,,,,,,-17.04838,4.39071,,,,
1.062,0.5000,0.5000,0.5000,0.5000,-8.63,-37.23,0.612,,1,0,,,,,,-16.92164,4.34458,,,,
1.089,0.5000,0.5000,0.5000,0.5000,-54.19,-52.19,0.619,,1,0,,,,,,-16.89669,4.33976,,,,
1.118,0.5000,0.5000,0.5000,0.5000,-83.06,17.53,0.610,,1,0,,,,,,-16.93976,4.35386,,,,
1.146,0.5000,0.5000,0.5000,0.5000,-0.39,1.57,0.632,,1,0,,,,,,-17.02822,4.39221,,,,
