time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.620,,,,,,,,,0,0,,,,,,,,,,,,,
0.665,,,,,,,,,0,0,,,,,,,,,,,,,
0.686,,,,,,,,,0,0,,,,,,,,,,,,,
0.707,,,,,,,,,0,0,,,,,,,,,,,,,
0.728,,,,,,,,,0,0,,,,,,,,,,,,,
0.745,,,,,,,,,0,0,,,,,,,,,,,,,
0.766,,,,,,,,,0,0,,,,,,,,,,,,,
0.791,,,,,,,,,0,0,,,,,,,,,,,,,
0.825,,,,,,,,,0,0,,,,,,,,,,,,,
0.856,,,,,,,,,0,0,,,,,,,,,,,,,
0.889,,,,,,,,,0,0,,,,,,,,,,,,,
0.920,,,,,,,,,0,0,,,,,,,,,,,,,
0.967,,,,,,,,,0,0,,,,,,,,,,,,,
1.001,,,,,,,,,0,0,,,,,,,,,,,,,
1.033,,,,,,,,,0,0,,,,,,,,,,,,,
1.080,,,,,,,,,0,0,,,,,,,,,,,,,
1.144,,,,,,,,,0,0,,,,,,,,,,,,,
1.213,,,,,,,,,0,0,,,,,,,,,,,,,
1.234,,,,,,,,,0,0,,,,,,,,,,,,,
1.272,,,,,,,,,0,0,,,,,,,,,,,,,
1.289,,,,,,,,,0,0,,,,,,,,,,,,,
1.321,,,,,,,,,0,0,,,,,,,,,,,,,
1.336,,,,,,,,,0,0,,,,,,,,,,,,,
1.386,,,,,,,,,0,0,,,,,,,,,,,,,
1.403,,,,,,,,,0,0,,,,,,,,,,,,,
1.447,,,,,,,,,0,0,,,,,,,,,,,,,
1.513,,,,,,,,,0,0,,,,,,,,,,,,,
1.531,,,,,,,,,0,0,,,,,,,,,,,,,
1.559,,,,,,,,,0,0,,,,,,,,,,,,,
1.577,,,,,,,,,0,0,,,,,,,,,,,,,
1.624,,,,,,,,,0,0,,,,,,,,,,,,,
1.641,,,,,,,,,0,0,,,,,,,,,,,,,
1.689,,,,,,,,,0,0,,,,,,,,,,,,,
1.705,,,,,,,,,0,0,,,,,,,,,,,,,
1.753,,,,,,,,,0,0,,,,,,,,,,,,,
1.770,,,,,,,,,0,0,,,,,,,,,,,,,
1.815,,,,,,,,,0,0,,,,,,,,,,,,,
1.862,,,,,,,,,0,0,,,,,,,,,,,,,
1.883,,,,,,,,,0,0,,,,,,,,,,,,,
1.928,,,,,,,,,0,0,,,,,,,,,,,,,
1.944,,,,,,,,,0,0,,,,,,,,,,,,,
1.993,,,,,,,,,0,0,,,,,,,,,,,,,
2.012,,,,,,,,,0,0,,,,,,,,,,,,,
2.054,,,,,,,,,0,0,,,,,,,,,,,,,
2.070,,,,,,,,,0,0,,,,,,,,,,,,,
2.105,,,,,,,,,0,0,,,,,,,,,,,,,
2.123,,,,,,,,,0,0,,,,,,,,,,,,,
2.169,,,,,,,,,0,0,,,,,,,,,,,,,
2.233,,,,,,,,,0,0,,,,,,,,,,,,,
2.250,,,,,,,,,0,0,,,,,,,,,,,,,
2.296,,,,,,,,,0,0,,,,,,,,,,,,,
2.312,,,,,,,,,0,0,,,,,,,,,,,,,
2.344,,,,,,,,,0,0,,,,,,,,,,,,,
2.358,,,,,,,,,0,0,,,,,,,,,,,,,
2.410,,,,,,,,,0,0,,,,,,,,,,,,,
2.474,,,,,,,,,0,0,,,,,,,,,,,,,
2.489,,,,,,,,,0,0,,,,,,,,,,,,,
2.537,,,,,,,,,0,0,,,,,,,,,,,,,
2.556,,,,,,,,,0,0,,,,,,,,,,,,,
2.584,,,,,,,,,0,0,,,,,,,,,,,,,
2.600,,,,,,,,,0,0,,,,,,,,,,,,,
2.652,,,,,,,,,0,0,,,,,,,,,,,,,
2.714,,,,,,,,,0,0,,,,,,,,,,,,,
2.731,,,,,,,,,0,0,,,,,,,,,,,,,
2.776,,,,,,,,,0,0,,,,,,,,,,,,,
2.791,,,,,,,,,0,0,,,,,,,,,,,,,
2.825,,,,,,,,,0,0,,,,,,,,,,,,,
2.843,,,,,,,,,0,0,,,,,,,,,,,,,
2.887,,,,,,,,,0,0,,,,,,,,,,,,,
2.907,,,,,,,,,0,0,,,,,,,,,,,,,
2.953,,,,,,,,,0,0,,,,,,,,,,,,,
2.969,,,,,,,,,0,0,,,,,,,,,,,,,
3.013,,,,,,,,,0,0,,,,,,,,,,,,,
3.064,,,,,,,,,0,0,,,,,,,,,,,,,
3.082,,,,,,,,,0,0,,,,,,,,,,,,,
3.127,,,,,,,,,0,0,,,,,,,,,,,,,
3.144,,,,,,,,,0,0,,,,,,,,,,,,,
3.193,,,,,,,,,0,0,,,,,,,,,,,,,
3.207,,,,,,,,,0,0,,,,,,,,,,,,,
3.257,,,,,,,,,0,0,,,,,,,,,,,,,
3.273,,,,,,,,,0,0,,,,,,,,,,,,,
3.321,,,,,,,,,0,0,,,,,,,,,,,,,
3.337,,,,,,,,,0,0,,,,,,,,,,,,,
3.368,,,,,,,,,0,0,,,,,,,,,,,,,
3.386,,,,,,,,,0,0,,,,,,,,,,,,,
3.433,,,,,,,,,0,0,,,,,,,,,,,,,
3.496,,,,,,,,,0,0,,,,,,,,,,,,,
3.517,,,,,,,,,0,0,,,,,,,,,,,,,
3.558,,,,,,,,,0,0,,,,,,,,,,,,,
3.578,,,,,,,,,0,0,,,,,,,,,,,,,
3.606,,,,,,,,,0,0,,,,,,,,,,,,,
3.623,,,,,,,,,0,0,,,,,,,,,,,,,
3.671,,,,,,,,,0,0,,,,,,,,,,,,,
3.735,,,,,,,,,0,0,,,,,,,,,,,,,
3.944,,,,,,,,,0,0,,,,,,,,,,,,,
3.962,,,,,,,,,0,0,,,,,,,,,,,,,
3.980,,,,,,,,,0,0,,,,,,,,,,,,,
3.996,,,,,,,,,0,0,,,,,,,,,,,,,
4.016,,,,,,,,,0,0,,,,,,,,,,,,,
4.042,,,,,,,,,0,0,,,,,,,,,,,,,
4.058,,,,,,,,,0,0,,,,,,,,,,,,,
4.089,,,,,,,,,0,0,,,,,,,,,,,,,
4.104,,,,,,,,,0,0,,,,,,,,,,,,,
4.154,,,,,,,,,0,0,,,,,,,,,,,,,
4.169,,,,,,,,,0,0,,,,,,,,,,,,,
4.214,,,,,,,,,0,0,,,,,,,,,,,,,
4.281,,,,,,,,,0,0,,,,,,,,,,,,,
4.298,,,,,,,,,0,0,,,,,,,,,,,,,
4.327,,,,,,,,,0,0,,,,,,,,,,,,,
4.345,,,,,,,,,0,0,,,,,,,,,,,,,
4.391,,,,,,,,,0,0,,,,,,,,,,,,,
4.409,,,,,,,,,0,0,,,,,,,,,,,,,
4.458,,,,,,,,,0,0,,,,,,,,,,,,,
4.474,,,,,,,,,0,0,,,,,,,,,,,,,
4.522,,,,,,,,,0,0,,,,,,,,,,,,,
4.541,,,,,,,,,0,0,,,,,,,,,,,,,
4.566,,,,,,,,,0,0,,,,,,,,,,,,,
4.583,,,,,,,,,0,0,,,,,,,,,,,,,
4.635,,,,,,,,,0,0,,,,,,,,,,,,,
4.698,,,,,,,,,0,0,,,,,,,,,,,,,
4.714,,,,,,,,,0,0,,,,,,,,,,,,,
4.761,,,,,,,,,0,0,,,,,,,,,,,,,
4.776,,,,,,,,,0,0,,,,,,,,,,,,,
4.809,,,,,,,,,0,0,,,,,,,,,,,,,
4.828,,,,,,,,,0,0,,,,,,,,,,,,,
4.871,,,,,,,,,0,0,,,,,,,,,,,,,
4.937,,,,,,,,,0,0,,,,,,,,,,,,,
4.954,,,,,,,,,0,0,,,,,,,,,,,,,
5.004,,,,,,,,,0,0,,,,,,,,,,,,,
5.024,,,,,,,,,0,0,,,,,,,,,,,,,
5.062,,,,,,,,,0,0,,,,,,,,,,,,,
5.079,,,,,,,,,0,0,,,,,,,,,,,,,
5.114,,,,,,,,,0,0,,,,,,,,,,,,,
5.128,,,,,,,,,0,0,,,,,,,,,,,,,
5.177,,,,,,,,,0,0,,,,,,,,,,,,,
5.241,,,,,,,,,0,0,,,,,,,,,,,,,
5.260,,,,,,,,,0,0,,,,,,,,,,,,,
5.306,,,,,,,,,0,0,,,,,,,,,,,,,
5.325,,,,,,,,,0,0,,,,,,,,,,,,,
5.351,,,,,,,,,0,0,,,,,,,,,,,,,
5.371,,,,,,,,,0,0,,,,,,,,,,,,,
5.416,,,,,,,,,0,0,,,,,,,,,,,,,
5.481,,,,,,,,,0,0,,,,,,,,,,,,,
5.502,,,,,,,,,0,0,,,,,,,,,,,,,
5.544,,,,,,,,,0,0,,,,,,,,,,,,,
5.563,,,,,,,,,0,0,,,,,,,,,,,,,
