time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.782,0.5000,0.5000,0.5000,0.5000,-165.40,37.06,1,0,,
0.833,0.5000,0.5000,0.5000,0.5000,-175.79,34.18,1,0,,
0.862,0.5000,0.5000,0.5000,0.5000,-176.19,33.33,1,0,,
0.896,0.5000,0.5000,0.5000,0.5000,-176.27,33.52,1,0,,
0.918,0.5000,0.5000,0.5000,0.5000,-166.91,38.83,1,0,,
0.941,0.5000,0.5000,0.5000,0.5000,-167.66,39.18,1,0,,
0.976,0.5000,0.5000,0.5000,0.5000,-167.56,39.96,1,0,,
1.003,0.5000,0.5000,0.5000,0.5000,-176.13,37.40,1,0,,
1.028,0.5000,0.5000,0.5000,0.5000,-175.73,36.88,1,0,,
1.058,0.5000,0.5000,0.5000,0.5000,-175.91,35.73,1,0,,
1.086,0.5000,0.5000,0.5000,0.5000,-176.81,36.13,1,0,,
1.113,0.5000,0.5000,0.5000,0.5000,-177.04,35.41,1,0,,
1.139,0.5000,0.5000,0.5000,0.5000,-177.58,35.56,1,0,,
1.163,0.5000,0.5000,0.5000,0.5000,-177.65,35.80,1,0,,
1.190,0.5000,0.5000,0.5000,0.5000,-177.42,35.10,1,0,,
1.219,0.5000,0.5000,0.5000,0.5000,-176.53,35.66,1,0,,
1.247,0.5000,0.5000,0.5000,0.5000,-176.53,37.13,1,0,,
1.272,0.5000,0.5000,0.5000,0.5000,-178.42,36.09,1,0,,
1.301,0.5000,0.5000,0.5000,0.5000,-177.67,36.98,1,0,,
1.335,0.5000,0.5000,0.5000,0.5000,-178.67,36.05,1,0,,
1.366,0.5000,0.5000,0.5000,0.5000,-179.81,37.22,1,0,,
1.399,0.5000,0.5000,0.5000,0.5000,-179.39,37.31,1,0,,
1.429,0.5000,0.5000,0.5000,0.5000,-179.28,41.47,1,0,,
1.469,0.5000,0.5000,0.5000,0.5000,178.90,41.96,1,0,,
1.499,0.5000,0.5000,0.5000,0.5000,178.65,38.53,1,0,,
1.528,0.5000,0.5000,0.5000,0.5000,178.01,43.60,1,0,,
1.560,0.5000,0.5000,0.5000,0.5000,175.66,42.75,1,0,,
1.590,0.5000,0.5000,0.5000,0.5000,174.96,43.42,1,0,,
1.622,0.5000,0.5000,0.5000,0.5000,173.85,43.29,1,0,,
1.654,0.5000,0.5000,0.5000,0.5000,172.44,43.93,1,0,,
1.696,0.5000,0.5000,0.5000,0.5000,171.61,43.69,1,0,,
1.729,0.5000,0.5000,0.5000,0.5000,171.43,43.51,1,0,,
1.754,0.5000,0.5000,0.5000,0.5000,172.27,38.34,1,0,,
1.800,0.5000,0.5000,0.5000,0.5000,168.36,43.45,1,0,,
1.837,0.5000,0.5000,0.5000,0.5000,171.10,37.93,1,0,,
1.866,0.5000,0.5000,0.5000,0.5000,170.45,37.99,1,0,,
1.899,0.5000,0.5000,0.5000,0.5000,170.45,38.23,1,0,,
1.933,0.5000,0.5000,0.5000,0.5000,171.62,38.05,1,0,,
1.961,0.5000,0.5000,0.5000,0.5000,171.17,38.39,1,0,,
1.994,0.5000,0.5000,0.5000,0.5000,171.25,37.84,1,0,,
2.021,0.5000,0.5000,0.5000,0.5000,170.63,37.28,1,0,,
2.060,0.5000,0.5000,0.5000,0.5000,171.13,36.03,1,0,,
2.090,0.5000,0.5000,0.5000,0.5000,171.02,35.99,1,0,,
2.126,0.5000,0.5000,0.5000,0.5000,171.50,37.06,1,0,,
2.159,0.5000,0.5000,0.5000,0.5000,170.81,36.21,1,0,,
2.184,0.5000,0.5000,0.5000,0.5000,170.76,36.97,1,0,,
2.214,0.5000,0.5000,0.5000,0.5000,170.58,37.76,1,0,,
2.245,0.5000,0.5000,0.5000,0.5000,170.58,37.97,1,0,,
2.279,0.5000,0.5000,0.5000,0.5000,170.67,38.52,1,0,,
2.368,0.5000,0.5000,0.5000,0.5000,170.46,37.74,1,0,,
2.405,0.5000,0.5000,0.5000,0.5000,166.04,43.84,1,0,,
2.431,0.5000,0.5000,0.5000,0.5000,165.82,43.76,1,0,,
2.455,0.5000,0.5000,0.5000,0.5000,169.92,38.80,1,0,,
2.482,0.5000,0.5000,0.5000,0.5000,165.80,44.43,1,0,,
2.511,0.5000,0.5000,0.5000,0.5000,168.62,37.76,1,0,,
2.539,0.5000,0.5000,0.5000,0.5000,168.25,38.07,1,0,,
2.569,0.5000,0.5000,0.5000,0.5000,167.90,37.40,1,0,,
2.591,0.5000,0.5000,0.5000,0.5000,164.80,44.17,1,0,,
2.621,0.5000,0.5000,0.5000,0.5000,164.10,44.42,1,0,,
2.650,0.5000,0.5000,0.5000,0.5000,164.30,44.21,1,0,,
3.881,0.5000,0.5000,0.5000,0.5000,177.15,18.27,1,0,,
3.903,0.5000,0.5000,0.5000,0.5000,176.99,17.47,1,0,,
3.924,0.5000,0.5000,0.5000,0.5000,176.57,17.30,1,0,,
3.947,0.5000,0.5000,0.5000,0.5000,176.19,12.56,1,0,,
3.967,0.5000,0.5000,0.5000,0.5000,176.29,4.88,1,0,,
3.989,0.5000,0.5000,0.5000,0.5000,177.64,-1.06,1,0,,
4.011,0.5000,0.5000,0.5000,0.5000,179.70,-2.30,1,0,,
4.033,0.5000,0.5000,0.5000,0.5000,-179.20,-10.94,1,0,,
4.068,0.5000,0.5000,0.5000,0.5000,-178.60,-14.22,1,0,,
4.101,0.5000,0.5000,0.5000,0.5000,-178.53,-14.76,1,0,,
4.133,0.5000,0.5000,0.5000,0.5000,-179.60,-15.32,1,0,,
4.167,0.5000,0.5000,0.5000,0.5000,-179.98,-14.96,1,0,,
4.198,0.5000,0.5000,0.5000,0.5000,-178.77,-17.89,1,0,,
4.231,0.5000,0.5000,0.5000,0.5000,-179.50,-18.14,1,0,,
4.260,0.5000,0.5000,0.5000,0.5000,-179.95,-17.44,1,0,,
4.326,0.5000,0.5000,0.5000,0.5000,-178.96,-18.80,1,0,,
4.373,0.5000,0.5000,0.5000,0.5000,-178.83,-18.58,1,0,,
4.395,0.5000,0.5000,0.5000,0.5000,-178.93,-18.77,1,0,,
4.440,0.5000,0.5000,0.5000,0.5000,-179.43,-17.81,1,0,,
4.503,0.5000,0.5000,0.5000,0.5000,-179.29,-19.16,1,0,,
4.528,0.5000,0.5000,0.5000,0.5000,-179.28,-19.52,1,0,,
4.566,0.5000,0.5000,0.5000,0.5000,-179.33,-19.06,1,0,,
4.589,0.5000,0.5000,0.5000,0.5000,-179.34,-18.92,1,0,,
4.613,0.5000,0.5000,0.5000,0.5000,-179.23,-18.97,1,0,,
4.636,0.5000,0.5000,0.5000,0.5000,-179.20,-18.80,1,0,,
4.678,0.5000,0.5000,0.5000,0.5000,-178.98,-18.95,1,0,,
4.701,0.5000,0.5000,0.5000,0.5000,-178.89,-19.10,1,0,,
4.741,0.5000,0.5000,0.5000,0.5000,-179.19,-19.29,1,0,,
4.809,0.5000,0.5000,0.5000,0.5000,-179.28,-20.04,1,0,,
4.831,0.5000,0.5000,0.5000,0.5000,-179.29,-19.93,1,0,,
4.853,0.5000,0.5000,0.5000,0.5000,-179.29,-19.91,1,0,,
4.876,0.5000,0.5000,0.5000,0.5000,-179.33,-19.80,1,0,,
4.917,0.5000,0.5000,0.5000,0.5000,-179.40,-18.54,1,0,,
4.938,0.5000,0.5000,0.5000,0.5000,-179.33,-18.34,1,0,,
4.979,0.5000,0.5000,0.5000,0.5000,-178.96,-18.80,1,0,,
